Month,Year,Advisors,Hire decision,Hire arrival,Assessments demand,Assessments accepted,Assessments lost,Sprint starts,Retainer starts,Renewal starts,Retainers active,Board readouts,FC add-on customers,Advisor capacity hrs,Bench hrs,Project pool hrs,Project delivered hrs,Backlog hrs,Backlog weeks,Utilization,Revenue: Readiness Assessment,Revenue: Prioritization & Attack Narrative Sprint,Revenue: Remediation Program Retainer,Revenue: Board Readout & Insurance Attestation,Revenue: Falcon Complete Continuous-Remediation Add-on,Gross revenue,Flex program margin,Net revenue,Advisor labor,Bench cost,Add-on delivery cost,Direct cost,Gross margin,Gross margin %,Sales/SE overhead,Travel,Contribution margin,Practice lead,Marketing,Training,Tooling,Insurance/legal,Fixed opex,EBITDA,Collections,Cash out,Net cash,Cumulative cash,Revenue left on table
21,2,3,0,0,3.7500,0,3.7500,0,1.3406,0,3.5571,0.9750,25.5000,352.5000,240,2534.1745,439.5000,2094.6745,25.7501,0.7500,30906.4575,46421.1041,65857.2047,5505.8304,251940,400630.5968,24037.8358,376592.7610,62083.3333,39600,88179,189862.3333,186730.4276,0.4958,45191.1313,22595.5657,118943.7307,5833.3333,7500,4500,3000,3750,24583.3333,94360.3973,353866.5545,282232.3636,71634.1908,174704.3521,2000973.4186
22,2,3,0,0,3.7500,0,3.7500,0,0,0,3.5571,0,27,352.5000,240,2467.9947,430.5000,2037.4947,25.0472,0.7500,25694.2423,38592.4235,76723.1770,4577.3004,266760,412347.1431,24740.8286,387606.3146,62083.3333,39600,93366,195049.3333,192556.9812,0.4968,46512.7577,23256.3789,122787.8446,5833.3333,7500,4500,3000,3750,24583.3333,98204.5113,371099.7752,289401.8033,81697.9719,256402.3240,2000973.4186
23,2,3,1,0,3.7500,0,3.7500,0,0,0.8580,3.3426,0.3432,28.5000,352.5000,240,2413.7000,421.5000,1992.2000,24.4904,0.7500,21236.0352,31896.2535,84081.5087,5279.0055,281580,424072.8030,25444.3682,398628.4348,62083.3333,39600,98553,200236.3333,198392.1015,0.4977,47835.4122,23917.7061,126638.9832,5833.3333,7500,4500,3000,3750,24583.3333,102055.6499,382099.5378,296572.7849,85526.7528,341929.0769,2000973.4186
24,2,3,0,0,3.7500,0,3.7500,0,0,0,3.3426,0,30,352.5000,240,2343.0085,412.5000,1930.5085,23.7320,0.7500,17670.9088,26541.4791,90805.3658,4392.7609,296400,435810.5145,26148.6309,409661.8836,62083.3333,39600,103740,205423.3333,204238.5503,0.4986,49159.4260,24579.7130,130499.4113,5833.3333,7500,4500,3000,3750,24583.3333,105916.0779,393117.3747,303745.8057,89371.5689,431300.6458,2000973.4186
25,3,4,0,1,4.6875,0,4.6875,0,0,0,3.3426,0,31.6667,430.8333,240,2281.3170,480.8333,1800.4837,18.1093,0.6875,18127.9594,27227.9634,119100.6042,4506.3778,325381.3333,494344.2382,29660.6543,464683.5839,80000,39600,113883.4667,233483.4667,231200.1172,0.4975,55762.0301,27881.0150,147557.0721,5833.3333,10000,6000,3000,3750,28583.3333,118973.7388,404145.1592,345709.8451,58435.3141,489735.9599,2501216.7732
26,3,4,0,0,4.6875,0,4.6875,0,0,0,3.3426,0,33.3333,430.8333,240,2151.2922,470.8333,1680.4588,16.9021,0.6875,14856.3235,22314.0080,124548.5569,3693.0911,342506.6667,507918.6461,30475.1188,477443.5273,80000,39600,119877.3333,239477.3333,237966.1940,0.4984,57293.2233,28646.6116,152026.3591,5833.3333,10000,6000,3000,3750,28583.3333,123443.0257,437172.7338,354000.5016,83172.2322,572908.1921,2501216.7732
27,3,4,0,0,4.6875,0,4.6875,0,0,0,3.3426,0,35,470,240,2031.2673,500,1531.2673,14.1181,0.7500,13051.9363,19603.8414,139723.6225,3244.5437,359632.0000,535255.9438,32115.3566,503140.5872,80000,39600,125871.2000,245471.2000,257669.3872,0.5121,60376.8705,30188.4352,167104.0815,5833.3333,10000,6000,3000,3750,28583.3333,138520.7482,471063.5556,364619.8390,106443.7166,679351.9087,2501216.7732
28,3,4,0,0,4.6875,0,4.6875,0,0,0.2288,3.2854,0.0915,36.6667,470,240,1882.8452,490.0000,1392.8452,12.8418,0.7500,10402.4929,15624.4114,142849.6467,3204.1921,376757.3333,548838.0765,32930.2846,515907.7919,80000,39600,131865.0667,251465.0667,264442.7252,0.5126,61908.9350,30954.4675,171579.3227,5833.3333,10000,6000,3000,3750,28583.3333,142995.9893,490292.0573,372911.8025,117380.2547,796732.1634,2501216.7732
29,3,4,0,0,4.6875,0,4.6875,0,0,0.2288,3.2282,0.0915,38.3333,470,240,1738.4199,480,1258.4199,11.6025,0.7500,8164.5218,12263.0074,144944.4885,3170.8135,393882.6667,562425.4979,33745.5299,528679.9680,80000,39600,137858.9333,257458.9333,271221.0347,0.5130,63441.5962,31720.7981,176058.6404,5833.3333,10000,6000,3000,3750,28583.3333,147475.3071,509524.1895,381204.6609,128319.5286,925051.6920,2501216.7732
30,3,4,1,0,4.6875,4.6875,0,0,0,0,3.2282,0,40,470,240,2815.9721,470,2345.9721,21.6295,0.7500,75500.3393,5366.0020,83267.7265,1387.4730,411008.0000,576529.5408,34591.7724,541937.7683,80000,39600,143852.8000,263452.8000,278484.9683,0.5139,65032.5322,32516.2661,180936.1700,5833.3333,10000,6000,3000,3750,28583.3333,152352.8367,522293.8799,389584.9316,132708.9483,1057760.6403,0
31,3,4,0,0,4.6875,0,4.6875,3.0469,0,0,3.2282,0,41.6667,470,240,3558.2118,460,3098.2118,28.5651,0.7500,48719.1745,43226.0529,69101.3381,895.3144,428133.3333,590075.2131,35404.5128,554670.7004,80000,39600,149846.6667,269446.6667,285224.0337,0.5142,66560.4840,33280.2420,185383.3076,5833.3333,10000,6000,3000,3750,28583.3333,156799.9743,535308.8682,397870.7261,137438.1421,1195198.7824,2501216.7732
32,3,5,0,1,4.6875,0,4.6875,0,0,0.4576,3.1138,0.1830,43.3333,548.3333,240,3875.2714,528.3333,3346.9381,26.4500,0.7000,44736.1984,60659.0486,79086.5392,1469.9024,445258.6667,631210.3553,37872.6213,593337.7340,97916.6667,39600,155840.5333,293357.2000,299980.5340,0.5056,71200.5281,35600.2640,193179.7419,5833.3333,10000,7500,3000,3750,30083.3333,163096.4086,548304.2343,430241.3255,118062.9089,1313261.6913,2501216.7732
33,3,5,0,0,4.6875,0,4.6875,0,1.6758,1.0725,4.5215,1.6478,45,548.3333,240,3943.4010,518.3333,3425.0677,27.0674,0.7000,37250.9141,50509.5446,87741.5685,6846.1724,462384.0000,644732.1995,38683.9320,606048.2675,97916.6667,39600,161834.4000,299351.0667,306697.2008,0.5061,72725.7921,36362.8961,197608.5127,5833.3333,10000,7500,3000,3750,30083.3333,167525.1794,574004.2172,438523.0882,135481.1290,1448742.8203,2501216.7732
34,3,5,0,0,4.6875,0,4.6875,0,0,0,4.5215,0,46.6667,587.5000,240,3899.5972,547.5000,3352.0972,24.7247,0.7500,34559.0133,46859.5219,104780.1702,6351.4404,479509.3333,672059.4791,40323.5687,631735.9103,97916.6667,39600,167828.2667,305344.9333,326390.9770,0.5167,75808.3092,37904.1546,212678.5132,5833.3333,10000,7500,3000,3750,30083.3333,182595.1798,599693.0008,449140.7305,150552.2702,1599295.0905,2501216.7732
35,3,5,0,0,4.6875,0,4.6875,0,0,0.6864,4.3499,0.2746,48.3333,587.5000,240,3828.9346,537.5000,3291.4346,24.2772,0.7500,29702.5903,40274.5636,112544.4465,6459.3978,496634.6667,685615.6650,41136.9399,644478.7251,97916.6667,39600,173822.1333,311338.8000,333139.9251,0.5169,77337.4470,38668.7235,217133.7545,5833.3333,10000,7500,3000,3750,30083.3333,187050.4212,618892.0889,457428.3038,161463.7851,1760758.8756,2501216.7732
36,3,5,0,0,4.6875,0,4.6875,0,0,0,4.3499,0,50,587.5000,240,3747.9547,527.5000,3220.4547,23.7537,0.7500,25599.3669,34710.8896,119544.1785,5567.0732,513760.0000,699181.5082,41950.8905,657230.6177,97916.6667,39600,179816,317332.6667,339897.9510,0.5172,78867.6741,39433.8371,221596.4398,5833.3333,10000,7500,3000,3750,30083.3333,191513.1065,638107.3177,465717.5112,172389.8065,1933148.6821,2501216.7732
